feature,mean_abs_shap
wall_insulation_none,4.48401
roof_insulation_thickness_mm,2.2241788
win_glazing_high_perf,1.9679508
feature_building_age,1.8338425
heat_energy_electric,1.4232967
form_mid_terrace,1.1444414
heat_energy_gas,1.0977541
heat_sys_room_heater,0.9883785
prop_type_flat,0.8631449
win_extent_full,0.6418719
prop_type_house,0.51186883
TOTAL_FLOOR_AREA,0.5080004
roof_covered_above,0.4050976
wall_measured_u_value,0.3342097
heat_sys_boiler,0.31343168
heat_sys_room_heaters,0.29241455
wall_type_cavity,0.27710864
wall_insulation_filled_cavity,0.23039645
roof_insulation_none,0.22777298
form_detached,0.21998794
heat_sys_storage,0.2186759
heat_sys_radiator,0.14768401
construction_age_unknown,0.14305016
form_semi_detached,0.12541395
form_end_terrace,0.1210866
heat_sys_community,0.11924074
heat_sys_portable_or_none,0.11082318
wall_type_system,0.10775618
wall_type_solid,0.1068088
win_glazing_single,0.099156044
roof_insulated_generic,0.08477618
wall_insulation_partial,0.0813982
form_unknown,0.07250453
heat_sys_heat_pump,0.07246861
roof_type_pitched,0.07013796
form_enclosed,0.06958059
win_glazing_double,0.06074288
wall_insulated_generic,0.059603505
wall_insulation_internal,0.041125376
wall_insulation_external,0.03964178
prop_type_maisonette,0.03905091
prop_type_bungalow_or_park,0.032868903
win_extent_partial,0.032471087
roof_insulation_limited,0.026744876
wall_type_timber,0.014912617
roof_type_flat,0.014409572
roof_type_room,0.013774426
win_glazing_secondary,0.012467613
heat_energy_solid,0.011489676
heat_sys_underfloor,0.009233167
wall_type_stone,0.006366737
win_glazing_triple,0.005206795
heat_energy_oil,0.0051134415
heat_sys_unknown,0.004457915
heat_sys_warm_air,0.0034750255
win_glazing_multiple,0.0024470293
roof_unknown,0.0013867847
wall_unknown,0.00080473983
roof_type_thatched,9.785569e-05
wall_type_basement,2.8495353e-05
win_unknown,0.0
wall_type_park_home,0.0
wall_type_cob,0.0
heat_sys_hot_water_only,0.0
heat_sys_micro_cogen,0.0
heat_sys_ceiling,0.0
wall_type_curtain,0.0
